city,latitude,longitude,timezone,time,temperature_c,humidity,wind_speed_kph,temperature_f,wind_speed_mph
Buenos Aires,-34.61315,-58.37723,GMT,2025-01-05 13:30:00,22.5,62,7.7,72.5,4.7845567
California,38.62753,-92.56658,GMT,2025-01-05 13:30:00,-5.1,91,27.9,22.82,17.3362509
